ExpID,PublicationID,PublicationName,IonExpNum,Cells,CellClass,CellOrigin,CellCycle,DNAcontent,PhotonRadiation,PhotonExpNum,Ion,Charge,IrradiationConditions,LET,Energy,ax_paper,bx_paper,ai_paper,bi_paper,ax_fit,bx_fit,ai_fit,bi_fit
80,7,eguchi96,9,L5178Y,n,r,a,5.6,200kVp,3,12C,6,m,74.0,26.6,,,,,0.165799380068184,0.0311236222225658,1.85327086175429,-0.0591432235837663
81,7,eguchi96,10,M10,n,r,a,5.6,200kVp,4,12C,6,m,74.0,26.6,,,,,1.17246780811534,0.0314673176523008,3.69294769231305,0.0
82,7,eguchi96,11,L5178Y,n,r,a,5.6,200kVp,3,12C,6,m,235.0,6.43,,,,,0.165799380068184,0.0311236222225658,1.69003328607998,0.0
83,7,eguchi96,12,M10,n,r,a,5.6,200kVp,4,12C,6,m,235.0,6.43,,,,,1.17246780811534,0.0314673176523008,1.94172452895913,0.263356140360723
84,7,eguchi96,13,LTA,n,r,a,5.6,200kVp,5,20Ne,10,m,62.0,123.2,,,,,0.0,0.0674596064403944,1.33688198009237,0.0
85,7,eguchi96,14,LTA,n,r,a,5.6,200kVp,5,20Ne,10,m,84.0,81.8,,,,,0.0,0.0674596064403944,1.54221666827971,0.0
86,7,eguchi96,15,LTA,n,r,a,5.6,200kVp,5,20Ne,10,m,108.0,59.2,,,,,0.0,0.0674596064403944,0.992774084351533,0.173511904506515
87,7,eguchi96,16,LTA,n,r,a,5.6,200kVp,5,20Ne,10,m,205.0,26.6,,,,,0.0,0.0674596064403944,1.55766740392911,-0.130910120103976
88,7,eguchi96,17,LTA,n,r,a,5.6,200kVp,5,20Ne,10,m,327.0,14.7,,,,,0.0,0.0674596064403944,0.749155163591805,-0.0521637145948893
89,7,eguchi96,18,SL3-147,n,r,a,5.6,200kVp,6,20Ne,10,m,62.0,123.2,,,,,1.91190907293017,0.0,2.51929120499484,0.0
90,7,eguchi96,19,SL3-147,n,r,a,5.6,200kVp,6,20Ne,10,m,84.0,81.8,,,,,1.91190907293017,0.0,2.48274324142498,0.0
91,7,eguchi96,20,SL3-147,n,r,a,5.6,200kVp,6,20Ne,10,m,108.0,59.2,,,,,1.91190907293017,0.0,2.40879909780065,0.0
92,7,eguchi96,21,SL3-147,n,r,a,5.6,200kVp,6,20Ne,10,m,205.0,26.6,,,,,1.91190907293017,0.0,1.8167158715406,0.0
93,7,eguchi96,22,SL3-147,n,r,a,5.6,200kVp,6,20Ne,10,m,327.0,14.7,,,,,1.91190907293017,0.0,0.90600433637504,0.0
94,8,suzuki97,1,HE20,n,h,G1/G0,6.0,137Cs,1,20Ne,10,m,63.0,120.3,,,,,0.123192766191984,0.166590552553849,1.56398312813171,0.0
95,8,suzuki97,2,HE20,n,h,G1/G0,6.0,137Cs,1,20Ne,10,m,105.0,61.4,,,,,0.123192766191984,0.166590552553849,1.602093717652,0.232454216804989
96,8,suzuki97,3,HE20,n,h,G1/G0,6.0,137Cs,1,20Ne,10,m,131.0,46.7,,,,,0.123192766191984,0.166590552553849,2.59327327162497,-0.145949739156421
97,8,suzuki97,4,HE20,n,h,G1/G0,6.0,137Cs,1,20Ne,10,m,191.0,29.0,,,,,0.123192766191984,0.166590552553849,2.58282818470142,-0.215759794858052
98,8,suzuki97,5,HE20,n,h,G1/G0,6.0,137Cs,1,20Ne,10,m,234.0,22.7,,,,,0.123192766191984,0.166590552553849,2.58235342082022,-0.358283715427876
99,8,suzuki97,6,HE20,n,h,G1/G0,6.0,137Cs,1,20Ne,10,m,285.0,17.8,,,,,0.123192766191984,0.166590552553849,2.37371159393308,-0.385179282656093
100,8,suzuki97,7,HE20,n,h,G1/G0,6.0,137Cs,1,20Ne,10,m,335.0,14.3,,,,,0.123192766191984,0.166590552553849,1.0873141198775,0.21297328974343
101,9,bettega98,1,C3H10T1/2,n,r,a,5.6,60Co,1,1H,1,m,11.0,3.18,0.24,0.016,0.47,0.019,0.331978338578077,0.0,0.419693855983539,0.0305388622510763
